Predicted Winner,Underdog,Win Probability
UC San Diego,Tulsa,0.7707346
Vermont,USC,0.89689124
Temple,William & Mary,0.8796347
BYU,Citadel,0.67952704
Fairfield,Weber St,0.90355015
Queens NC,UC San Diego,0.6252637
Villanova,VCU,0.65398186
IUPUI,Northwestern LA,0.88605964
Wofford,California,0.8651717
Virginia Tech,Utah Tech,0.5441147
St Thomas MN,Alabama A&M,0.895109
SC Upstate,Rider,0.85709506
Detroit,VCU,0.951588
Hawaii,Syracuse,0.944481
South Dakota,Stanford,0.5392221
San Diego St,Florida St,0.665648
Chicago St,S Dakota St,0.8236261
Washington St,W Michigan,0.77193767
Oklahoma St,Illinois,0.53164536
South Florida,Niagara,0.77721995
Idaho St,VMI,0.62860024
Iowa,Grand Canyon,0.8109381
Pepperdine,Loy Marymount,0.62869185
St Thomas MN,Gardner Webb,0.78298664
Yale,Weber St,0.6931871
Toledo,Utah,0.77236587
LSU,Savannah St,0.80004776
Siena,Seattle,0.72827715
Austin Peay,Troy,0.6084849
Chattanooga,Iowa,0.7761444
Wichita St,Utica,0.86694217
Queens NC,UNC Greensboro,0.8246735
VCU,Evansville,0.8148662
Cornell,Dartmouth,0.698184
USC,St Francis PA,0.84009874
Coppin St,Richmond,0.65826887
Incarnate Word,South Carolina,0.8675082
Idaho St,Michigan St,0.8334076
Pepperdine,Florida A&M,0.53694093
W Texas A&M,Loyola-Chicago,0.6347389
Wyoming,Auburn,0.81020916
TX Southern,Centenary,0.85332376
Ark Pine Bluff,Long Beach St,0.8959912
TCU,Incarnate Word,0.7941886
CS Northridge,Indiana,0.54153836
Denver,Murray St,0.9499805
WKU,Wichita St,0.96236426
Jacksonville St,Louisville,0.8486557
Louisiana,Duke,0.93948096
Michigan St,Lehigh,0.78097904
James Madison,Morehead St,0.8418618
Bradley,Arizona,0.8791734
Baylor,NC State,0.9538866
Florida Intl,Morehead St,0.8896934
Kansas St,SE Louisiana,0.9058621
Cal Poly,UNC Wilmington,0.7241561
Ball St,Holy Cross,0.99165624
High Point,SF Austin,0.8182357
Tennessee St,Boise St,0.88269204
Marshall,Rutgers,0.6900016
St Peter's,UC Irvine,0.90638834
Missouri,Utica,0.75650704
Charleston So,Akron,0.6619139
San Diego St,San Jose St,0.6715535
Tennessee Tech,Florida,0.62521285
Ark Pine Bluff,Virginia,0.55759543
East Carolina,Duke,0.8110464
Idaho St,Oakland,0.97544754
Jacksonville,Army,0.89153564
South Florida,CS Bakersfield,0.7764479
St Thomas MN,New Orleans,0.88836735
Arkansas St,Detroit,0.5149759
Georgia,SUNY Albany,0.9401829
Toledo,FL Atlantic,0.7508107
Chicago St,Mississippi St,0.96409893
PFW,Army,0.9437626
Florida A&M,Butler,0.66513443
SC Upstate,SIUE,0.76296806
UC Riverside,Youngstown St,0.8159211
Austin Peay,Alcorn St,0.7600123
W Michigan,North Carolina,0.70396745
FGCU,Ball St,0.94416654
Xavier,New Mexico St,0.8437766
Jacksonville St,Louisiana Tech,0.95429814
UNLV,Xavier,0.6794527
Coastal Car,Centenary,0.8993287
George Mason,Brown,0.77896565
VMI,Weber St,0.5854448
Birmingham So,UTEP,0.6828469
Portland St,Princeton,0.71329975
N Dakota St,Morehead St,0.85656095
Texas St,Northwestern,0.87753886
Tulsa,Bellarmine,0.81047505
Auburn,Tennessee,0.614194
Canisius,Wake Forest,0.9250883
Toledo,UCF,0.9745532
Maine,Miami OH,0.86196625
Auburn,Harvard,0.7112857
St Mary's CA,California,0.6678746
Detroit,South Florida,0.8314183
North Dakota,West Georgia,0.73273504
Northeastern,Wyoming,0.7063931
Maryland,San Diego,0.79788876
Wichita St,W Michigan,0.6732025
Michigan St,South Florida,0.99061406
FL Atlantic,Nevada,0.64305043
Virginia,MTSU,0.54843897
Florida A&M,Oregon,0.8111478
LIU Brooklyn,USC,0.74606466
Arkansas St,Tulsa,0.66747725
Centenary,Notre Dame,0.92207456
Ga Southern,G Washington,0.51690817
Norfolk St,Pacific,0.72086453
Massachusetts,Texas Tech,0.95810765
CS Sacramento,Gonzaga,0.68057245
Centenary,Lehigh,0.78829736
UTEP,Lindenwood,0.97754735
Air Force,Gonzaga,0.7865018
Texas A&M,Louisiana,0.6136958
Maryland,W Carolina,0.78013384
NE Omaha,Georgia Tech,0.75307053
Hawaii,UC San Diego,0.9073107
Citadel,UC Riverside,0.6900273
Northeastern,Washington St,0.86417377
Indiana St,IUPUI,0.74780875
W Salem St,St Thomas MN,0.62118614
Marshall,Stetson,0.90840936
MS Valley St,East Texas A&M,0.51042604
James Madison,Florida Intl,0.99088264
Valparaiso,Air Force,0.5623462
Dayton,Tarleton St,0.96011096
Vanderbilt,Oklahoma,0.5665947
Queens NC,NC Central,0.7083473
UNC Asheville,MD E Shore,0.91710657
Georgetown,Chicago St,0.80553526
St Joseph's PA,Morehead St,0.81765413
Robert Morris,Wisconsin,0.51478964
Pacific,Cent Arkansas,0.9079453
Missouri,Northern Iowa,0.8352683
American Univ,Southern Miss,0.9089448
Gardner Webb,WKU,0.88713217
New Hampshire,F Dickinson,0.5042799
Quinnipiac,Prairie View,0.81576854
Manhattan,E Illinois,0.54555714
Oregon St,UTRGV,0.51542056
St John's,E Illinois,0.64190084
Murray St,Georgia,0.97712505
CS Fullerton,Abilene Chr,0.93248385
South Dakota,Iowa,0.56233096
Louisville,Valparaiso,0.838979
Robert Morris,Radford,0.67666
Iona,St Mary's CA,0.54292935
North Florida,Michigan St,0.79123235
George Mason,Pittsburgh,0.7219134
Wofford,Georgia,0.88012254
Missouri,Santa Clara,0.7975425
Northern Arizona,Princeton,0.93104726
West Georgia,Northwestern LA,0.56217015
Arizona,San Diego St,0.5832085
West Virginia,CS Bakersfield,0.95443326
Pepperdine,Yale,0.5837826
UNC Greensboro,Winthrop,0.98232025
Mississippi St,Norfolk St,0.78754795
Ohio St,Towson,0.64326453
ULM,Army,0.8101219
LIU Brooklyn,Pepperdine,0.9265981
Charleston So,Ohio,0.62262005
St Francis NY,Alabama St,0.57229
Maryland,Louisiana Tech,0.709392
Idaho St,Bucknell,0.5500742
Hampton,E Illinois,0.6169557
Mercer,Illinois St,0.6575862
Kent,Chicago St,0.556291
East Texas A&M,Mt St Mary's,0.5230849
Austin Peay,Montana,0.6162581
Pittsburgh,Holy Cross,0.9049972
Washington,East Texas A&M,0.8468584
Merrimack,UC San Diego,0.8639948
Dartmouth,Penn St,0.8382012
Wyoming,St Louis,0.9631764
Arkansas,Ohio St,0.9339268
Pittsburgh,Oklahoma,0.5195763
MD E Shore,Utah,0.9604055
Samford,American Univ,0.998892
Wright St,Holy Cross,0.9136767
DePaul,C Michigan,0.5796609
Jacksonville,Marist,0.82277834
SMU,Pacific,0.7976359
Hawaii,MS Valley St,0.5133785
NC Central,Miami FL,0.6169681
Kennesaw,MTSU,0.78605133
Colgate,Citadel,0.7851238
James Madison,Northern Arizona,0.9982613
Alabama St,Ohio,0.5281246
Columbia,Sam Houston St,0.6465231
Oregon St,Stanford,0.8795476
Nicholls St,Wofford,0.95321983
Creighton,E Michigan,0.9364904
Yale,Missouri KC,0.626343
Columbia,Sam Houston St,0.79505193
SC Upstate,Dayton,0.88330454
N Illinois,Southern Miss,0.71223235
Jacksonville,Coppin St,0.57131326
Armstrong St,Gardner Webb,0.96654665
S Dakota St,St Joseph's PA,0.8299481
Syracuse,North Alabama,0.8683406
Monmouth NJ,Hawaii,0.64621764
Robert Morris,Samford,0.8189394
Massachusetts,W Texas A&M,0.70288575
LSU,Charlotte,0.9021709
Coppin St,Furman,0.6099544
Sam Houston St,Austin Peay,0.71236974
UNLV,Florida,0.83306015
East Texas A&M,Presbyterian,0.96907985
IL Chicago,Georgia St,0.6638109
Clemson,Siena,0.81601745
Northeastern,Cent Arkansas,0.5408032
Arkansas,Youngstown St,0.749459
St Joseph's PA,Troy,0.9401533
San Diego,Texas Tech,0.8765092
St Louis,South Dakota,0.59950006
Marshall,William & Mary,0.8489377
SC Upstate,Mississippi St,0.87619567
UNC Asheville,Boston Univ,0.64789414
Mississippi St,Savannah St,0.97271574
Furman,Grambling,0.5370606
Duke,Manhattan,0.96104324
Holy Cross,Clemson,0.7305614
Bradley,North Carolina,0.6083508
Drake,New Hampshire,0.5055331
Detroit,Texas A&M,0.9635824
Creighton,Tennessee,0.66719043
Kansas,St Francis NY,0.85532105
McNeese St,Kennesaw,0.845455
Rhode Island,High Point,0.51761544
San Diego St,Chattanooga,0.6809398
Santa Clara,Fordham,0.86326003
Idaho St,East Carolina,0.8451508
Marist,Alcorn St,0.90428454
Nebraska,TX Southern,0.6021622
Syracuse,CS Northridge,0.69915915
S Dakota St,Old Dominion,0.7284426
Alabama A&M,Rice,0.82261163
Coppin St,Quinnipiac,0.97510684
Bowling Green,Samford,0.98671204
Hardin-Simmons,Iowa St,0.7123338
Rutgers,Georgetown,0.6124479
South Florida,WI Green Bay,0.68770736
Cal Baptist,Weber St,0.7438694
FL Atlantic,Lipscomb,0.53171784
Miami FL,East Texas A&M,0.58800316
Birmingham So,LIU Brooklyn,0.73126173
Alabama St,S Dakota St,0.55407506
Utica,Purdue,0.7441761
NE Illinois,Boston College,0.66774297
Fresno St,Southern Utah,0.78122354
Michigan St,Dayton,0.8842586
ULM,Kennesaw,0.5542658
Mercyhurst,Alliant Intl,0.67697257
UC Davis,New Orleans,0.91570985
Vermont,Creighton,0.96103877
East Texas A&M,Morgan St,0.7607212
IUPUI,Creighton,0.7817033
Indiana,Georgia Tech,0.57279575
LIU Brooklyn,Butler,0.85367703
Sacred Heart,SIUE,0.91705483
Florida Intl,N Kentucky,0.9687342
West Georgia,Virginia Tech,0.60584694
Centenary,ETSU,0.6087377
Nevada,Kent,0.66851145
Utah St,St Bonaventure,0.9743158
Seattle,Louisville,0.5036127
LSU,St Mary's CA,0.6888436
Nebraska,SMU,0.8158868
Morris Brown,Purdue,0.69156504
W Carolina,Maine,0.6642751
Dayton,W Michigan,0.8491002
Wichita St,Marist,0.97519046
Missouri KC,Miami OH,0.9436578
Gonzaga,Howard,0.6021313
St Louis,Kansas St,0.5380341
UC Davis,Coppin St,0.9738305
Washington,Evansville,0.96919173
Rutgers,West Virginia,0.732761
Xavier,Tulsa,0.90884155
High Point,Florida Intl,0.6250189
St Thomas MN,James Madison,0.78230333
Le Moyne,Bowling Green,0.70873505
Fresno St,Wichita St,0.6691892
Kentucky,Southern Miss,0.9729829
Coppin St,Wake Forest,0.72447515
E Illinois,Dartmouth,0.9005941
Oklahoma St,Old Dominion,0.56385726
Southern Utah,Iona,0.97442573
Maine,St Louis,0.9677872
Towson,Maryland,0.78982687
Notre Dame,Syracuse,0.97696507
UMBC,Cleveland St,0.83510184
Oregon St,Morehead St,0.6290605
Bradley,IL Chicago,0.89411885
Kansas St,IUPUI,0.78312695
Gonzaga,George Mason,0.77220243
Rutgers,N Dakota St,0.66297525
Southern Utah,MTSU,0.70139766
SE Missouri St,Fairfield,0.9874222
Wichita St,Northern Iowa,0.56936747
Denver,Bradley,0.8066286
NC A&T,New Orleans,0.7137302
Mississippi St,Air Force,0.6884172
Fairfield,Evansville,0.9135295
George Mason,Cornell,0.8226352
Ohio St,Wichita St,0.9383537
Alabama St,Ohio St,0.76942766
Liberty,Quinnipiac,0.548095
Youngstown St,MD E Shore,0.6037715
Boston Univ,UTEP,0.6865203
Vermont,Hardin-Simmons,0.87708485
N Kentucky,WKU,0.9104546
Nevada,Mercer,0.5091619
Colgate,Montana,0.9694184
Air Force,Arizona St,0.62841004
Central Conn,Baylor,0.5016736
N Illinois,Harvard,0.97442436
Kentucky,Monmouth NJ,0.5899308
ETSU,Baylor,0.8214848
Southern Miss,Manhattan,0.91761905
Indiana,Alabama A&M,0.77184963
Stanford,San Diego,0.55219996
Iowa St,Maryland,0.7156195
American Univ,Citadel,0.92424047
New Hampshire,Alcorn St,0.80500686
South Alabama,SE Missouri St,0.9905505
TN Martin,Evansville,0.7519083
MTSU,DePaul,0.9880155
Wright St,St Louis,0.95414484
Winthrop,Tennessee,0.50421154
Stetson,W Illinois,0.65095675
Iowa,Oklahoma St,0.7847803
Houston Chr,Davidson,0.9752999
St Francis PA,North Florida,0.8589325
Chicago St,Brooklyn,0.9343523
Loyola-Chicago,Prairie View,0.83243513
Lafayette,Morgan St,0.9111031
VMI,Michigan,0.61094815
Drake,UC Irvine,0.6396055
WI Milwaukee,UNLV,0.7338749
Hawaii,Northwestern LA,0.89188486
Washington,Monmouth NJ,0.89212173
CS Northridge,Birmingham So,0.70270467
Oklahoma St,Oregon St,0.63160217
Colorado St,New Hampshire,0.75124687
Davidson,Southern Miss,0.6548017
W Michigan,Illinois,0.59947014
Duke,WI Milwaukee,0.96246713
NJIT,IUPUI,0.94744265
James Madison,St Mary's CA,0.6276316
Centenary,ULM,0.51597
Idaho St,High Point,0.90799385
Kansas,Akron,0.6153501
WI Green Bay,Iowa St,0.9179757
CS Northridge,Dartmouth,0.8540051
Binghamton,Bethune-Cookman,0.54390186
Morris Brown,Kennesaw,0.5844213
Alcorn St,Samford,0.6500552
St Peter's,N Illinois,0.6739261
SIUE,Detroit,0.7560531
Montana St,IUPUI,0.57289153
FL Atlantic,W Salem St,0.5346091
Missouri KC,Wichita St,0.52682006
Delaware,Missouri,0.8986762
Radford,CS Fullerton,0.5181803
Dartmouth,North Texas,0.6058525
Tulsa,Massachusetts,0.9298561
UMBC,Rice,0.7015314
Wisconsin,Missouri St,0.6103241
E Kentucky,SF Austin,0.60189694
Loyola MD,East Texas A&M,0.8410424
Alabama A&M,Wright St,0.9179843
Rider,San Diego,0.62548625
VMI,Samford,0.79045236
Northern Arizona,Radford,0.6877272
Ark Little Rock,Columbia,0.5263855
Missouri St,Jacksonville St,0.89764595
Miami FL,Montana St,0.51973236
IL Chicago,Penn St,0.8272501
MD E Shore,BYU,0.7489732
UC Santa Barbara,Rider,0.64886093
Mississippi St,Radford,0.6350939
Utah Valley,Minnesota,0.6809693
Loy Marymount,William & Mary,0.90819275
Alliant Intl,Utah St,0.69657254
Old Dominion,NJIT,0.98976165
Brooklyn,West Virginia,0.6604345
Samford,Furman,0.74484915
Grambling,Merrimack,0.95971006
Dartmouth,St Thomas MN,0.61672246
Long Beach St,UCLA,0.5294516
FL Atlantic,Marist,0.6931377
TAM C. Christi,UC San Diego,0.7746827
Oakland,Bethune-Cookman,0.79939264
Morehead St,Bowling Green,0.57128775
Dayton,Minnesota,0.6256928
Lindenwood,DePaul,0.9130687
Arkansas St,Georgia,0.9055766
Furman,SF Austin,0.8618797
Kentucky,Jacksonville St,0.8085562
SF Austin,Virginia Tech,0.6009542
Jacksonville,Michigan,0.5108694
Hampton,Utica,0.9441564
Georgia St,Alabama St,0.8708833
Winthrop,Harvard,0.71650743
Southern Indiana,Cincinnati,0.95757335
East Carolina,Grambling,0.5881014
Montana St,San Francisco,0.9984559
East Texas A&M,Auburn,0.7755991
UAB,Pepperdine,0.569994
W Illinois,Utica,0.8878608
Missouri KC,Arizona,0.91798466
Okla City,Nicholls St,0.921897
Air Force,S Carolina St,0.6543648
CS Sacramento,W Carolina,0.6861535
Oregon,SUNY Albany,0.9750179
Northwestern LA,Texas A&M,0.58148766
Vermont,Loyola MD,0.72909623
Minnesota,Gardner Webb,0.5177734
Cal Poly,UTEP,0.8193205
N Colorado,San Jose St,0.68769413
Auburn,Pacific,0.79738224
Campbell,Cal Baptist,0.7286129
ULM,Montana,0.87394273
Colorado,Wisconsin,0.74348605
Georgia St,Southern Miss,0.57485807
Arkansas,Providence,0.9515126
Southern Utah,Long Beach St,0.8210938
W Salem St,San Diego St,0.935107
Tennessee Tech,Jacksonville St,0.5773068
Washington,Elon,0.539989
Missouri St,Ball St,0.7294337
Georgia Tech,Bethune-Cookman,0.6940118
Louisiana,Idaho St,0.9486756
E Kentucky,St Louis,0.6103686
Stanford,Oakland,0.76301426
Fairfield,Utah Valley,0.9705913
Maryland,Kent,0.66102594
Colorado St,Indiana,0.6264361
Drexel,Ark Little Rock,0.6325886
Alabama St,Kansas,0.9247557
LIU Brooklyn,New Mexico St,0.62186706
West Virginia,FL Atlantic,0.697921
MD E Shore,SIUE,0.5822151
W Texas A&M,George Mason,0.64278203
Lafayette,Lamar,0.877313
Georgia Tech,Sam Houston St,0.98273784
Alliant Intl,Ohio St,0.55433166
Fordham,Louisiana Tech,0.5819957
Campbell,Penn St,0.80475116
Campbell,G Washington,0.8305194
MD E Shore,Kansas St,0.8958838
Santa Clara,Pacific,0.5174429
S Dakota St,TAM C. Christi,0.7356189
Old Dominion,N Illinois,0.7022717
Utah St,NJIT,0.7142754
Alliant Intl,Kennesaw,0.67486453
CS Sacramento,Jackson St,0.6564157
Ball St,UT San Antonio,0.78962576
SE Missouri St,Northern Iowa,0.78239816
SC Upstate,Auburn,0.636665
Longwood,UNC Greensboro,0.9339342
Texas St,Birmingham So,0.9779009
Purdue,Hardin-Simmons,0.5118201
Stetson,Merrimack,0.95757765
South Florida,Fresno St,0.6276357
Montana,Georgia,0.9310442
California,BYU,0.78150564
Iowa St,Gardner Webb,0.69281477
Central Conn,W Carolina,0.709732
Montana St,Charleston So,0.80601597
Dartmouth,Houston Chr,0.53143084
McNeese St,UNC Asheville,0.9621161
Loyola MD,Oklahoma,0.6815562
Boise St,Centenary,0.53242886
Santa Clara,Kansas St,0.7676588
Vanderbilt,Winthrop,0.8904106
TAM C. Christi,Washington St,0.710455
VMI,Bethune-Cookman,0.7867554
Kansas,IL Chicago,0.828799
Fresno St,Michigan,0.73398775
Hampton,UNC Greensboro,0.7358904
Armstrong St,Utah Tech,0.6363723
Alabama A&M,CS Northridge,0.8574877
Kennesaw,S Dakota St,0.5931288
San Diego St,Utah St,0.7868841
G Washington,Oral Roberts,0.51720667
N Illinois,MD E Shore,0.58209985
Fairfield,Hawaii,0.85956454
Hartford,SC Upstate,0.87627405
Mt St Mary's,Idaho St,0.68608916
TN Martin,Bucknell,0.87733686
St Louis,SUNY Albany,0.5506704
Alabama St,LIU Brooklyn,0.97917056
Oral Roberts,Robert Morris,0.7570398
Texas Tech,F Dickinson,0.8294304
W Salem St,Augusta,0.6493687
MD E Shore,Loyola MD,0.8430386
Virginia,Stony Brook,0.93030334
Hardin-Simmons,Fresno St,0.7801781
Okla City,Charlotte,0.90931654
Oregon,Colorado,0.5552947
Richmond,Utah St,0.7260807
Arkansas St,Yale,0.7912503
Fresno St,Massachusetts,0.908617
Southern Indiana,St Mary's CA,0.61887646
Kansas,Ball St,0.9803571
Alcorn St,South Florida,0.79871786
New Mexico,American Univ,0.5225104
Dayton,CS Northridge,0.6287093
SF Austin,Mercer,0.6231685
USC,WKU,0.5183826
TN Martin,UNLV,0.605114
Morris Brown,New Orleans,0.86692077
Holy Cross,Montana,0.5498731
George Mason,Charleston So,0.6118389
UAB,Utah St,0.8202015
UTRGV,Missouri,0.6162771
Villanova,Northwestern LA,0.5928312
St Francis PA,MTSU,0.76526916
Ga Southern,NE Illinois,0.80981505
Alabama,Virginia,0.93963516
Birmingham So,Cal Poly,0.88122165
Lamar,Wofford,0.8547633
Tennessee Tech,Minnesota,0.56907535
Alabama,Pacific,0.8495236
Utah Tech,IL Chicago,0.9697117
Wagner,St Thomas MN,0.963022
Nebraska,Oklahoma St,0.50714725
Washington St,Prairie View,0.84381145
East Carolina,F Dickinson,0.71463656
TN Martin,Abilene Chr,0.936156
Quinnipiac,UMBC,0.9324345
Central Conn,Stanford,0.80687386
Air Force,Centenary,0.7008454
New Hampshire,Missouri KC,0.591047
St Bonaventure,FGCU,0.8095809
William & Mary,Delaware,0.6828305
Robert Morris,James Madison,0.8449947
New Mexico St,FGCU,0.66601205
High Point,Brown,0.59472495
Lafayette,Samford,0.98370934
Howard,Air Force,0.5777999
Hartford,Indiana St,0.78001565
W Michigan,Tulane,0.5743209
Stanford,St Francis PA,0.9749187
Samford,Tarleton St,0.7699292
TX Southern,Fordham,0.799966
Ohio,Florida A&M,0.8401004
Southern Miss,Savannah St,0.7976011
Pacific,Texas Tech,0.65445274
Georgetown,Michigan,0.5028385
Niagara,Georgia St,0.53250694
Wagner,E Kentucky,0.6115252
Virginia Tech,Creighton,0.62984335
Wagner,Wake Forest,0.7295474
Valparaiso,Texas St,0.50622845
Florida A&M,St John's,0.5998376
Florida St,SIUE,0.8085621
New Mexico,Georgia Tech,0.95602036
Illinois,Oregon St,0.5899153
Harvard,St Mary's CA,0.9529615
Arizona,Long Beach St,0.7077757
Vanderbilt,Citadel,0.505913
Rhode Island,Auburn,0.6747425
James Madison,Washington St,0.97095
UC Santa Barbara,Auburn,0.5928401
Siena,St Peter's,0.5463505
Navy,Oakland,0.77287304
Fresno St,Purdue,0.76815957
Butler,Fresno St,0.7845094
Stetson,Valparaiso,0.9395761
North Dakota,Boston College,0.8836803
IUPUI,Duquesne,0.8675351
Charleston So,UCLA,0.79483265
Arkansas St,UT San Antonio,0.5397895
W Salem St,Mt St Mary's,0.96476483
Tulane,VMI,0.7964344
Detroit,Hofstra,0.8505399
Brown,Massachusetts,0.828686
Radford,E Michigan,0.5747932
Richmond,S Dakota St,0.7229613
Tennessee Tech,SC Upstate,0.8759155
Missouri St,SC Upstate,0.66651803
Murray St,Davidson,0.58608055
ULM,Alabama,0.8053989
Louisiana Tech,Washington St,0.8850571
Dayton,Northwestern,0.5176032
Wright St,Wagner,0.79596734
Siena,Tulsa,0.8419762
Kent,UNC Wilmington,0.68467426
Columbia,Armstrong St,0.87649834
NJIT,Maine,0.7137506
Utah Tech,UC Irvine,0.8775116
Colorado,TX Southern,0.59016585
Rutgers,Wright St,0.8782711
Oregon,Michigan St,0.559167
Loy Marymount,Seattle,0.86753577
Radford,NJIT,0.72418237
Chattanooga,Prairie View,0.6590239
S Dakota St,UMBC,0.61582845
Citadel,Georgia Tech,0.57252526
Coppin St,Drake,0.78031355
Delaware St,Morgan St,0.71200216
Boston Univ,Seattle,0.9893302
Jackson St,Notre Dame,0.6157161
Armstrong St,Weber St,0.66376954
Oklahoma,Michigan St,0.51393545
Canisius,Kansas St,0.6633062
Oklahoma,Portland,0.65480936
Arkansas St,Southern Utah,0.7473589
UC Davis,VMI,0.9424596
Elon,St Louis,0.91006756
Air Force,Old Dominion,0.6577233
San Diego St,SE Missouri St,0.8174093
Bryant,Sacred Heart,0.8998413
Washington St,Oakland,0.948794
Stonehill,Penn St,0.5685852
Iona,Tennessee St,0.9289435
CS Sacramento,Arkansas St,0.99279517
Savannah St,Louisville,0.8450418
Armstrong St,MD E Shore,0.7422889
Jackson St,VCU,0.9908201
New Orleans,Navy,0.78417206
W Texas A&M,Tennessee Tech,0.5816761
Incarnate Word,St Mary's CA,0.8273922
Seton Hall,Morris Brown,0.7553938
Ga Southern,Incarnate Word,0.9576481
Dayton,VCU,0.85054773
Hartford,PFW,0.66493267
Jackson St,Lindenwood,0.75156766
North Florida,Ark Little Rock,0.7143674
Idaho St,Louisiana Tech,0.5419082
CS Bakersfield,Ark Pine Bluff,0.55474573
Vanderbilt,WKU,0.91640896
Wichita St,Lehigh,0.7176352
WI Milwaukee,Iowa St,0.80871797
TX Southern,Gonzaga,0.6932659
West Virginia,New Mexico,0.87772566
Purdue,ETSU,0.7413846
Tulsa,Arkansas St,0.60403293
Binghamton,Utah Tech,0.6985243
Oral Roberts,TAM C. Christi,0.7579125
William & Mary,UC Santa Barbara,0.6531397
High Point,Augusta,0.7796285
Louisville,Prairie View,0.94303274
Utah St,E Michigan,0.9365073
Manhattan,Hawaii,0.85046536
Towson,Hofstra,0.55875576
SIUE,Kent,0.693546
UNC Asheville,Robert Morris,0.9045769
Elon,Niagara,0.6805091
Iowa,Ohio,0.5963412
Kent,UC Riverside,0.7088547
UC Irvine,Vermont,0.5949964
Xavier,Ball St,0.5311147
Providence,Old Dominion,0.5380191
Armstrong St,Manhattan,0.8781729
LIU Brooklyn,Virginia,0.57865036
Texas Tech,Quinnipiac,0.8697384
MD E Shore,Cal Poly,0.52719826
Maryland,West Virginia,0.9039375
Oregon St,Abilene Chr,0.8970842
Georgia,Idaho St,0.71083343
North Dakota,Wofford,0.9963282
Cent Arkansas,Portland,0.5398321
Maine,LIU Brooklyn,0.5986017
South Florida,UTEP,0.84538937
CS Fullerton,S Illinois,0.8959086
Centenary,Northeastern,0.73228014
Gardner Webb,Ga Southern,0.9232951
UT Arlington,Vanderbilt,0.6443374
