Predicted Winner,Underdog
Birmingham So,Richmond
Oral Roberts,West Virginia
UC Riverside,Hawaii
TCU,CS Fullerton
Cent Arkansas,Robert Morris
Baylor,UTEP
SE Louisiana,Boston College
Elon,Louisiana Tech
Idaho,S Carolina St
Morgan St,High Point
Radford,Bryant
Utah Tech,Virginia
Portland St,Missouri KC
North Alabama,Robert Morris
Charleston So,Davidson
SUNY Albany,San Diego
Hofstra,W Salem St
Lehigh,Abilene Chr
Tennessee Tech,Purdue
Grand Canyon,Texas St
Brown,Elon
Pacific,Stonehill
Massachusetts,UC Davis
Tennessee St,E Washington
Virginia Tech,Mississippi
La Salle,Old Dominion
Cal Poly,Mercyhurst
Florida,Duke
Northern Iowa,SE Louisiana
Wake Forest,Houston Chr
Tulsa,Minnesota
CS Northridge,Charlotte
Kennesaw,Harvard
Bethune-Cookman,UNC Wilmington
Fresno St,Mercyhurst
Hampton,UNC Asheville
Texas,Vanderbilt
VCU,UNLV
N Dakota St,SE Louisiana
Cleveland St,Bryant
Rhode Island,Tennessee
Loyola-Chicago,UNC Wilmington
Army,Texas A&M
UMBC,Tennessee St
Nevada,Michigan
Fordham,Texas Tech
CS Bakersfield,George Mason
Weber St,East Carolina
Creighton,Brooklyn
Tennessee,Cent Arkansas
Wyoming,Rider
Notre Dame,BYU
LIU Brooklyn,TAM C. Christi
NJIT,FL Atlantic
Nevada,Long Beach St
Ohio,Liberty
Kansas,Miami FL
Hardin-Simmons,Auburn
Notre Dame,West Georgia
Cincinnati,Stetson
Oklahoma St,Colorado St
Illinois St,Rutgers
TN Martin,W Carolina
Stony Brook,UC Santa Barbara
Hampton,SE Louisiana
Wyoming,Tarleton St
St Joseph's PA,Belmont
Oral Roberts,Pittsburgh
Ark Pine Bluff,Akron
Loy Marymount,Davidson
CS Fullerton,North Florida
SE Missouri St,Denver
Tulsa,Southern Univ
Chattanooga,LSU
IUPUI,Delaware St
Southern Utah,North Dakota
S Carolina St,Missouri
E Michigan,W Salem St
Georgia,E Illinois
Hofstra,James Madison
Missouri St,Dartmouth
Mississippi,North Florida
Troy,TN Martin
Oklahoma,Hawaii
Boise St,Bowling Green
UNC Asheville,W Carolina
Appalachian St,WI Green Bay
Long Beach St,La Salle
Florida Intl,Cornell
Tulsa,New Mexico
Davidson,South Alabama
SE Missouri St,McNeese St
SIUE,Marquette
Massachusetts,Cornell
Tennessee,Siena
Fordham,Texas Tech
New Orleans,Merrimack
SE Missouri St,Alabama
Buffalo,Tennessee
Grambling,Cincinnati
Navy,Army
Texas St,Norfolk St
Murray St,W Illinois
Denver,Duquesne
Kentucky,Kansas St
Oral Roberts,Wofford
Quinnipiac,St John's
UNC Greensboro,Mt St Mary's
Ohio St,Harvard
N Dakota St,St Peter's
Texas A&M,Siena
Loyola MD,Missouri
Georgia,Utica
South Carolina,Ark Little Rock
Baylor,Florida
Cent Arkansas,Okla City
Hofstra,Merrimack
Columbia,Chattanooga
Morehead St,Idaho
UAB,Oklahoma St
Centenary,BYU
Louisville,Maine
Alcorn St,Troy
San Francisco,Louisiana
Morgan St,Arizona
Rider,Providence
Towson,WKU
Mercyhurst,Louisiana
Oklahoma St,Oakland
California,UCLA
Gonzaga,Coastal Car
Georgia,F Dickinson
SE Louisiana,Tennessee Tech
Utica,Coppin St
Northwestern LA,Houston
Dartmouth,Denver
Hampton,WI Green Bay
Radford,St Bonaventure
Stony Brook,Florida Intl
Boise St,C Michigan
E Washington,Houston Chr
Gonzaga,Florida St
Buffalo,Villanova
Radford,W Illinois
Alabama,Mercyhurst
W Salem St,Nebraska
Butler,Cleveland St
N Illinois,NC Central
Virginia,Missouri
UNC Wilmington,E Kentucky
C Michigan,Elon
Tennessee Tech,MS Valley St
Georgetown,Central Conn
Duke,Alabama
CS Sacramento,Georgetown
Le Moyne,Rutgers
SUNY Albany,Coastal Car
East Carolina,Toledo
Murray St,Montana
UC Davis,Rice
Houston,Iowa
Michigan St,Winthrop
Texas A&M,W Illinois
Princeton,NJIT
Oral Roberts,Providence
Ark Pine Bluff,Rice
Evansville,New Orleans
Wake Forest,Indiana St
UNC Asheville,Ark Pine Bluff
Incarnate Word,Montana
Alabama,Houston Chr
SMU,S Carolina St
Hampton,Winthrop
Radford,Charlotte
Niagara,Pepperdine
Stony Brook,SC Upstate
Oklahoma,Georgia St
Utah Tech,Marist
Detroit,San Diego St
ETSU,Birmingham So
Hawaii,Butler
Missouri KC,Dayton
Florida Intl,Portland
NC State,Tennessee St
Iowa,UC Irvine
Fordham,Clemson
Harvard,NC State
UT Arlington,Colorado
Stetson,South Alabama
Bryant,New Hampshire
Hofstra,Lipscomb
Utah,San Diego St
Cal Poly,William & Mary
Ark Little Rock,TAM C. Christi
Bowling Green,PFW
Virginia Tech,Illinois St
Michigan,Kennesaw
Montana St,Mercer
St Louis,UT Arlington
Florida,SMU
Winthrop,Kansas St
CS Northridge,Dayton
CS Northridge,Nevada
William & Mary,Miami FL
Virginia,Maine
S Illinois,Pittsburgh
Grambling,Jacksonville St
Connecticut,Penn
Yale,Ball St
Buffalo,Chattanooga
Arkansas St,Holy Cross
Missouri,UNC Asheville
Indiana,Alabama St
Holy Cross,Stony Brook
Old Dominion,Jacksonville St
Birmingham So,Drake
TN Martin,Tennessee
Colorado St,Tulane
Wake Forest,Gonzaga
Charlotte,East Carolina
Idaho St,Lehigh
Oklahoma,SE Missouri St
WI Milwaukee,Pacific
N Kentucky,Manhattan
Tulsa,Indiana
Air Force,N Illinois
Savannah St,CS Fullerton
Austin Peay,Oklahoma St
Stony Brook,Georgia Tech
Savannah St,Loyola MD
Washington,Louisiana Tech
Southern Indiana,Evansville
East Texas A&M,St John's
UT San Antonio,Alliant Intl
Mt St Mary's,Hartford
Rider,UAB
North Dakota,VCU
N Dakota St,Indiana St
South Florida,UNLV
Detroit,TN Martin
TCU,Tulsa
Minnesota,Centenary
St Louis,PFW
St Francis PA,Fordham
Navy,Ga Southern
New Mexico St,Gonzaga
Bellarmine,DePaul
UC San Diego,Southern Indiana
Cal Poly,Rutgers
Citadel,Massachusetts
Pacific,North Carolina
Charleston So,Alliant Intl
Stonehill,Stanford
Gardner Webb,Texas St
MS Valley St,Armstrong St
New Hampshire,Bucknell
Hardin-Simmons,West Georgia
S Dakota St,Stonehill
Iowa,Seattle
Sam Houston St,Portland
Niagara,E Illinois
Northern Iowa,NJIT
Bellarmine,Winthrop
Idaho St,Merrimack
Arkansas,Wright St
La Salle,East Carolina
New Hampshire,CS Bakersfield
Brooklyn,St Bonaventure
UTEP,Troy
Cincinnati,Army
Morgan St,SE Louisiana
Colorado,Pacific
South Florida,Oral Roberts
Colorado,Morris Brown
Louisiana Tech,LSU
Lindenwood,NC A&T
Wake Forest,UNLV
Arizona,N Kentucky
Duquesne,Texas St
Binghamton,Kentucky
UC Riverside,South Dakota
Mercyhurst,Oklahoma St
Southern Indiana,Bryant
Nicholls St,South Carolina
S Dakota St,Illinois St
Florida,SIUE
SMU,Butler
Richmond,Stony Brook
Hardin-Simmons,Detroit
UNLV,Wake Forest
Richmond,Texas St
DePaul,SE Louisiana
Rice,UMBC
ULM,Morgan St
Creighton,South Florida
Texas,South Carolina
American Univ,Santa Clara
Iowa,Northern Arizona
Stonehill,CS Northridge
Wright St,Coastal Car
Idaho St,Queens NC
E Illinois,Norfolk St
NJIT,San Diego St
NE Illinois,UNC Greensboro
Bucknell,Tennessee St
Baylor,New Orleans
Seattle,Washington St
Georgia Tech,Nebraska
South Dakota,W Salem St
Massachusetts,George Mason
Weber St,Col Charleston
Coastal Car,ULM
Colorado St,Cincinnati
W Michigan,Marquette
St Mary's CA,N Dakota St
Missouri,Ohio St
Louisiana Tech,Mercyhurst
Maine,Towson
Fairfield,Pittsburgh
Rice,Manhattan
E Washington,Winthrop
Col Charleston,Tennessee St
Georgetown,Iowa
Furman,Holy Cross
UC San Diego,Lipscomb
Prairie View,La Salle
IL Chicago,North Dakota
IL Chicago,South Florida
Northwestern,Nevada
Southern Univ,Gardner Webb
Arkansas,Florida St
IL Chicago,Wichita St
Toledo,Arizona
Army,Weber St
Detroit,S Dakota St
VMI,Virginia Tech
Abilene Chr,Memphis
Ohio,W Illinois
Oregon,Bowling Green
Duke,TX Southern
Presbyterian,Ball St
Alliant Intl,Boston College
LIU Brooklyn,Rider
MA Lowell,Michigan
Towson,TCU
Alcorn St,Drexel
MS Valley St,Rice
Georgetown,George Mason
San Francisco,Lehigh
Centenary,South Carolina
VMI,Air Force
Ball St,East Carolina
Old Dominion,Campbell
Richmond,Lafayette
New Hampshire,Cent Arkansas
La Salle,Gonzaga
Incarnate Word,Wagner
Clemson,Columbia
Loyola MD,Fairfield
New Mexico St,Illinois
Tennessee St,Colorado St
NJIT,SE Missouri St
Ark Little Rock,S Carolina St
Niagara,Howard
Mt St Mary's,South Dakota
E Kentucky,Akron
Montana St,St Bonaventure
Hawaii,UC San Diego
East Carolina,Akron
Mississippi St,F Dickinson
Mississippi St,Binghamton
Chattanooga,Cleveland St
Florida A&M,Wagner
Lindenwood,Charleston So
Cal Baptist,Nicholls St
Old Dominion,Lindenwood
St Louis,Creighton
Utah,Evansville
St Francis NY,Miami OH
W Carolina,Tulsa
Monmouth NJ,St Joseph's PA
Queens NC,IL Chicago
Minnesota,Wyoming
McNeese St,St Bonaventure
Alabama St,Lamar
Baylor,South Alabama
Lamar,New Mexico St
SE Missouri St,Lafayette
NC Central,Wichita St
Texas St,Bucknell
Akron,Connecticut
NE Illinois,Xavier
Louisiana,North Dakota
Tennessee,Marshall
North Carolina,Murray St
UC Riverside,Indiana
Utah St,NE Omaha
Indiana,Boise St
NC A&T,Illinois
Missouri KC,Southern Univ
Bryant,VMI
Toledo,Okla City
Santa Clara,South Carolina
Louisville,New Orleans
East Texas A&M,Nevada
South Alabama,CS Bakersfield
LIU Brooklyn,Stetson
UC San Diego,Ohio
FL Atlantic,Rutgers
W Carolina,Coppin St
Prairie View,Cent Arkansas
UAB,E Kentucky
PFW,Temple
Murray St,CS Northridge
Florida,UC Riverside
Indiana St,UC Irvine
Le Moyne,Temple
Campbell,Ohio St
Northern Arizona,Charleston So
New Mexico,Missouri St
TN Martin,Rhode Island
George Mason,Washington
Arizona,Bucknell
Appalachian St,Hawaii
Nicholls St,Prairie View
Winthrop,Siena
Le Moyne,Indiana
C Michigan,Winthrop
Savannah St,Colgate
UCLA,Presbyterian
Appalachian St,Illinois
Toledo,North Alabama
Utah Tech,Valparaiso
UNLV,Buffalo
UT Arlington,Tennessee St
Bellarmine,Augusta
Merrimack,TCU
Seton Hall,Manhattan
UNLV,Liberty
Pittsburgh,Alliant Intl
Cal Poly,Arkansas St
North Texas,Clemson
VCU,Lehigh
Stonehill,Liberty
Lafayette,Colorado
Seton Hall,ETSU
UC Irvine,Providence
Lipscomb,Belmont
Abilene Chr,Fresno St
Savannah St,Stonehill
Florida A&M,Colorado St
American Univ,F Dickinson
UCLA,Duke
Oklahoma,VMI
W Salem St,Merrimack
F Dickinson,St Bonaventure
Texas St,Vanderbilt
N Kentucky,MTSU
Canisius,Boston Univ
TN Martin,W Texas A&M
Mississippi St,VMI
Tennessee,Princeton
Birmingham So,Pacific
Southern Univ,Butler
TX Southern,Siena
Bucknell,Mercyhurst
Alabama,Missouri KC
Boston Univ,St Louis
UNC Greensboro,North Alabama
Loyola-Chicago,S Carolina St
Temple,Gonzaga
N Illinois,Lipscomb
Utah,Elon
St Joseph's PA,IUPUI
Missouri,Delaware
Hardin-Simmons,Le Moyne
Lipscomb,North Carolina
Sam Houston St,Chattanooga
Howard,Bryant
South Alabama,High Point
Providence,Radford
Army,USC
North Alabama,W Carolina
San Francisco,Arkansas St
ETSU,North Carolina
La Salle,Drake
VMI,Navy
Lehigh,Duke
UCF,Temple
Robert Morris,CS Sacramento
S Illinois,Temple
Weber St,Cleveland St
N Kentucky,North Carolina
Missouri St,W Carolina
Memphis,Augusta
Texas Tech,N Dakota St
MA Lowell,Indiana St
Oral Roberts,W Illinois
Rhode Island,Louisville
Delaware St,Utah Tech
Oral Roberts,California
Murray St,TX Southern
N Illinois,Idaho
UAB,MA Lowell
Pacific,William & Mary
UNC Asheville,American Univ
West Virginia,Brooklyn
Ga Southern,Northern Iowa
Providence,Okla City
Drake,Manhattan
Alliant Intl,Le Moyne
Louisiana Tech,Bellarmine
Colorado St,Stanford
Wagner,Oklahoma St
Chattanooga,Connecticut
Colorado,Birmingham So
Long Beach St,LSU
Utah Valley,Abilene Chr
Pacific,NE Illinois
F Dickinson,Tennessee
Chattanooga,Queens NC
Iowa,Delaware
West Georgia,Princeton
ULM,NC A&T
Kentucky,Cal Baptist
